电影名,票房,电影类型
天将雄师,7.43亿,剧情&动作&冒险&战争&历史
邪不压正,5.77亿,爱情&动作&冒险
我的少女时代,3.6亿,剧情&爱情
影,6.23亿,剧情&动作
狮子王,8.23亿,动画&冒险
攀登者,10.88亿,剧情&冒险
杀破狼2,5.6亿,动作&犯罪
西游记之孙悟空三打白骨精,12亿,喜剧&动作&奇幻
战狼,5.4亿,动作&战争
李茶的姑妈,5.99亿,喜剧
追龙,5.7亿,动作&犯罪
西游记女儿国,7.2亿,剧情&动作&冒险&奇幻
荒野猎人,3.77亿,剧情&冒险&西部
滚蛋吧！肿瘤君,5.07亿,喜剧&爱情
你的名字。,5.76亿,剧情&爱情&动画
反贪风暴3,4.39亿,剧情&犯罪
英伦对决,5.34亿,动作&惊悚
王牌特工：特工学院,4.84亿,喜剧&动作&犯罪&冒险
动物世界,5.05亿,剧情&动作&冒险
新喜剧之王,6.19亿,剧情&喜剧
谍影重重5,4.47亿,动作&惊悚&悬疑
神奇动物在哪里,5.91亿,冒险&家庭&奇幻
独立日：卷土重来,5.03亿,动作&冒险&科幻&灾难
星际特工：千星之城,4.06亿,动作&冒险&科幻
大侦探皮卡丘,6.34亿,喜剧&动画&冒险
哆啦A梦：伴我同行,5.29亿,剧情&动画&家庭
美女与野兽,5.91亿,爱情&奇幻
金刚狼3：殊死一战,7.32亿,剧情&动作&科幻
全球风暴,4.3亿,动作&科幻
勇敢者游戏：决战丛林,4.87亿,动作&冒险&奇幻
冰川时代：星际碰撞,4.47亿,喜剧&动画&冒险
星际迷航3：超越星辰,4.39亿,动作&冒险&科幻
来电狂响,6.35亿,剧情&喜剧
王牌特工2：黄金圈,4.69亿,喜剧&动作&冒险
杀破狼·贪狼,5.18亿,剧情&动作&犯罪
捉妖记2,22.19亿,喜剧&奇幻
铁道飞虎,6.92亿,喜剧&动作
熊出没之变形记,6亿,喜剧&动画&冒险
猩球崛起2：黎明之战,7.11亿,剧情&动作&科幻
狄仁杰之四大天王,6.01亿,动作&悬疑
死侍2：我爱我家,2.84亿,喜剧&动作&冒险&科幻
爱丽丝梦游仙境2：镜中奇遇记,3.87亿,冒险&家庭&奇幻
白蛇：缘起,4.48亿,动画&奇幻
小时代4：灵魂尽头,4.87亿,剧情&喜剧&爱情
银河护卫队,5.95亿,动作&冒险&科幻
左耳,4.84亿,剧情&爱情
缝纫机乐队,4.53亿,剧情&喜剧
绝世高手,1.01亿,喜剧&动作
爱宠大机密,3.88亿,喜剧&动画
敦刻尔克大撤退,3.36亿,剧情&战争&历史
灰姑娘,4.44亿,剧情&爱情&冒险&奇幻
妖猫传,5.26亿,无分类
绿皮书,4.73亿,剧情&喜剧
幕后玩家,3.55亿,剧情
大人物,1015万,剧情&动作&犯罪
拆弹专家,3.97亿,动作&犯罪&悬疑
伦敦陷落,3.4亿,动作&惊悚&犯罪
哆啦A梦：大雄的南极冰寒大冒险,1.48亿,动画&冒险
万万没想到：西游篇,3.21亿,喜剧
一条狗的使命,6.08亿,剧情&喜剧&冒险
一步之遥,5.15亿,剧情&喜剧&战争
驯龙高手3,3.63亿,动画&冒险&奇幻
异星觉醒,1.34亿,惊悚&恐怖&科幻
爱情公寓,5.5亿,喜剧&爱情
雷霆沙赞！,2.91亿,动作&冒险&奇幻
使徒行者2：谍影行动,6.93亿,剧情&动作&犯罪
美国队长2,7.21亿,动作&冒险&科幻
大护法,8687.09万,动画&悬疑&奇幻
泰山归来：险战丛林,3.05亿,动作&冒险
爵迹,3.81亿,动作&动画&冒险&奇幻
老师·好,3.5亿,无分类
X战警：逆转未来,7.24亿,动作&冒险&奇幻
情圣,6.58亿,喜剧
极盗者,2.47亿,动作&惊悚&犯罪
奇门遁甲,2.97亿,动作&奇幻
忍者神龟2,3.93亿,喜剧&动作&冒险&奇幻&科幻
天才枪手,2.68亿,剧情&犯罪&悬疑
大话西游3,3.61亿,剧情&喜剧&奇幻
匆匆那年,5.88亿,剧情&爱情
熊出没之熊心归来,2.87亿,喜剧&动画&冒险
后会无期,6.3亿,剧情&爱情&科幻
人再囧途之泰囧,12.67亿,剧情&喜剧
酒国英雄之摆渡人,4.83亿,喜剧&爱情
奔跑吧，兄弟,4.33亿,喜剧
何以笙箫默,3.52亿,剧情&爱情
道士下山,3.99亿,喜剧&冒险&奇幻
血战钢锯岭,4.26亿,剧情&战争&传记&历史
厉害了，我的国,4.76亿,纪录片
黄金兄弟,3.15亿,动作&犯罪
致青春：原来你还在这里,3.35亿,剧情&爱情
神奇动物：格林德沃之罪,3.95亿,冒险&奇幻
超人总动员2,3.51亿,喜剧&动作&动画&冒险
澳门风云3,11.16亿,喜剧&动作
快把我哥带走,3.72亿,喜剧&奇幻
博物馆奇妙夜3,3.23亿,喜剧&冒险&家庭&奇幻
我不是潘金莲,4.79亿,剧情&喜剧
悲伤逆流成河,3.53亿,剧情&爱情
火锅英雄,3.7亿,剧情&爱情&动作
烈日灼心,3.03亿,剧情&犯罪&悬疑
千与千寻,4.82亿,剧情&动画&奇幻
超凡蜘蛛侠2,5.91亿,动作&冒险&奇幻
神战：权力之眼,2.35亿,冒险&奇幻
星球大战：侠盗一号,4.76亿,动作&冒险&科幻
机器之血,3.02亿,无分类
移动迷宫：烧痕审判,1.96亿,动作&惊悚&科幻
忍者神龟：变种时代,3.85亿,喜剧&动作&冒险
前任攻略2：备胎反击战,2.51亿,喜剧&爱情
封神传奇,2.83亿,剧情&动作&奇幻
熊出没之奇幻空间,5.21亿,动画&冒险&奇幻
移动迷宫3：死亡解药,3.12亿,动作&科幻
木星上行,2.83亿,动作&冒险&科幻
妖铃铃,3.59亿,无分类
重返20岁,3.64亿,喜剧&爱情&奇幻
星球大战8：最后的绝地武士,2.65亿,无分类
横冲直撞好莱坞,3.22亿,喜剧&爱情&动作&冒险
我的特工爷爷,3.24亿,剧情&喜剧&动作&悬疑
西游降魔篇,12.46亿,剧情&喜剧&冒险&奇幻&古装
铁血战士,2.14亿,动作&惊悚&科幻
南极之恋,2.31亿,无分类
哥斯拉,4.81亿,动作&冒险&科幻
调音师,3.22亿,喜剧&犯罪&悬疑
终结者：黑暗命运,3.51亿,动作&冒险&科幻
嫌疑人X的献身,4.02亿,剧情&犯罪&悬疑
驯龙高手2,3.99亿,动作&动画&冒险
最好的我们,4.08亿,剧情&爱情
神探夏洛克,1.61亿,剧情&犯罪&悬疑
寂静之地,2.18亿,无分类
海底总动员2：多莉去哪儿,2.54亿,喜剧&动画&冒险&家庭
空天猎,3.15亿,剧情&动作
蜘蛛侠：平行宇宙,4.23亿,动作&动画&科幻
X战警：黑凤凰,4.04亿,动作&冒险&科幻
私人订制,7.18亿,剧情&喜剧
找到你,2.83亿,剧情
帕丁顿熊2,2.04亿,喜剧&动画&家庭
记忆大师,2.92亿,剧情&犯罪&悬疑
饥饿游戏3：嘲笑鸟（上）,2.23亿,动作&冒险&科幻
心理罪,3.02亿,动作&犯罪&悬疑
敢死队3,4.53亿,动作&惊悚&冒险
西游记之大闹天宫,10.46亿,动作
二代妖精之今生有幸,2.89亿,喜剧&爱情&奇幻
解救吾先生,1.95亿,动作&犯罪
分手大师,6.66亿,剧情&喜剧&爱情
钟馗伏魔：雪妖魔灵,4.05亿,动作&奇幻&古装
闪光少女,6422.36万,剧情&喜剧&爱情
哆啦A梦：大雄的金银岛,2.06亿,动画&冒险&奇幻
我是证人,2.13亿,剧情&犯罪&悬疑
泰坦尼克号3D版,9.48亿,剧情&爱情&冒险&灾难
起跑线,2.08亿,剧情&喜剧
咱们结婚吧,2.84亿,爱情
钢铁侠3,7.68亿,动作&科幻
亚瑟王：斗兽争霸,5682万,剧情&动作&冒险&奇幻
东方快车谋杀案,2.28亿,剧情&犯罪&悬疑
王牌逗王牌,2.6亿,喜剧&动作&冒险
有一个地方只有我们知道,2.8亿,喜剧&爱情
小萝莉的猴神大叔,2.82亿,剧情&喜剧&动作
微微一笑很倾城,2.75亿,爱情
黑衣人：全球追缉,3.04亿,喜剧&动作&科幻
环太平洋,6.9亿,动作&冒险&科幻
最后的巫师猎人,1.79亿,动作&冒险&奇幻
明日边缘,4.07亿,动作&科幻
胖子行动队,2.58亿,喜剧&爱情
小时代3：刺金时代,5.22亿,剧情&喜剧&爱情
原谅他77次,7485万,剧情&爱情
卧虎藏龙2：青冥宝剑,2.55亿,剧情&动作&冒险&奇幻
阿拉丁,3.64亿,爱情&冒险&奇幻
太空旅客,3.14亿,爱情&冒险&科幻
饥饿游戏3：嘲笑鸟（下）,1.42亿,动作&冒险&科幻
超体,2.78亿,动作&科幻
密室逃生,2.29亿,惊悚&犯罪&悬疑
小王子,1.58亿,动画&奇幻
机械师2：复活,3.39亿,动作&惊悚&犯罪
喵星人,4410.58万,喜剧&奇幻
超凡战队,2900万,动作&冒险&科幻
十二生肖,8.81亿,动作&冒险
百团大战,4.1亿,战争&历史
陆垚知马俐,1.92亿,喜剧&爱情
喜欢你,2.1亿,喜剧&爱情
王牌保镖,1.39亿,喜剧&动作
少年派的奇幻漂流,5.71亿,剧情&冒险
熊出没之雪岭熊风,2.95亿,喜剧&动画
心理罪之城市之光,2.21亿,犯罪&悬疑
侠盗联盟,2.35亿,动作&冒险
诛仙Ⅰ,3.99亿,爱情&奇幻
无敌破坏王,6387万,喜剧&动作&动画&冒险&家庭&奇幻
致我们终将逝去的青春,7.19亿,剧情&爱情
极品飞车,4.12亿,剧情&动作&犯罪
京城81号,4.08亿,剧情&惊悚
追捕,1.04亿,动作&悬疑
亲爱的,3.43亿,剧情&家庭
飓风营救3,2.03亿,动作&惊悚&犯罪
失孤,2.15亿,剧情&家庭
白发魔女传之明月天国,3.9亿,剧情&动作&武侠
霍比特人：史矛革之战,4.64亿,剧情&冒险&奇幻
赏金猎人,2.13亿,动作
追龙Ⅱ,3.04亿,剧情&动作&犯罪
青禾男高,3021万,剧情
攻壳机动队,2.03亿,剧情&动作&犯罪&科幻
赤道,2.1亿,剧情&动作&犯罪&悬疑
游侠索罗：星球大战外传,1.05亿,动作&冒险&科幻
怦然星动,1.59亿,喜剧&爱情
微爱之渐入佳境,2.84亿,剧情&爱情
第七子：降魔之战,1.72亿,冒险&奇幻
冈仁波齐,9915.46万,剧情
反贪风暴2,2.09亿,剧情&动作&犯罪
精灵旅社3：疯狂假期,2.21亿,喜剧&动画&奇幻
疯狂外星人,1.7亿,动画&冒险&奇幻&科幻
狄仁杰之神都龙王,6.02亿,动作&悬疑&古装
看不见的客人,1.71亿,惊悚&犯罪&悬疑
地心引力,4.36亿,惊悚&悬疑&科幻
何以为家,3.7亿,剧情
蓝精灵：寻找神秘村,1.73亿,动画&家庭
明月几时有,6289.89万,剧情&战争&历史
反转人生,6935万,喜剧
荡寇风云,6456万,动作&战争&传记&历史
奇迹男孩,1.9亿,剧情&家庭
七月与安生,1.67亿,剧情&爱情
公牛历险记,1.7亿,无分类
马达加斯加的企鹅,2.51亿,喜剧&动画&冒险
北京遇上西雅图,5.2亿,喜剧&爱情
中国合伙人,5.39亿,剧情&喜剧
破风,1.45亿,剧情&爱情&运动
毒。诫,3883万,剧情&动作&犯罪&传记
新娘大作战,1.73亿,喜剧&爱情
麻烦家族,3130万,剧情&喜剧&家庭
海洋奇缘,2.25亿,喜剧&动作&动画&冒险&奇幻
爸爸去哪儿,6.96亿,剧情&家庭
阿唐奇遇,3008.06万,动画&冒险&家庭
沉睡魔咒,2.94亿,剧情&动作&冒险
降魔传,9085.1万,喜剧&奇幻
精灵旅社2,1.19亿,喜剧&动画&家庭
阿尔法：狼伴归途,1.13亿,动作&冒险
圆梦巨人,1.43亿,冒险&家庭&奇幻
复仇者联盟,5.68亿,动作&冒险&奇幻&科幻
天气之子,2.85亿,爱情&动画&奇幻
解忧杂货店,2.2亿,剧情&奇幻
春娇救志明,1.75亿,剧情&喜剧&爱情
画皮II,7.03亿,爱情&动作&惊悚&奇幻
夏有乔木 雅望天堂,1.51亿,剧情&爱情
疯狂原始人,3.95亿,喜剧&动画&冒险&家庭
极限挑战,1.25亿,喜剧&悬疑
玩命速递：重启之战,1.28亿,动作&惊悚&犯罪
谁的青春不迷茫,1.8亿,爱情
危城,1.67亿,动作&古装&武侠
赛车总动员3：极速挑战,1.36亿,喜剧&动画&冒险
猛虫过江,2.01亿,喜剧&动作
小飞象,1.46亿,动画&家庭&奇幻
地球最后的夜晚,2.79亿,剧情&悬疑
分歧者3：忠诚世界,1.22亿,爱情&动作&冒险&科幻
同桌的妳,4.56亿,剧情&爱情
绝命海拔,1.02亿,剧情&惊悚&冒险
爸爸去哪儿2,2.21亿,家庭&儿童&真人秀
鲛珠传,1.13亿,剧情&喜剧&动作&奇幻
归来,2.92亿,剧情&爱情&历史
新大头儿子和小头爸爸3：俄罗斯奇遇记,1.57亿,冒险&家庭&奇幻
一条狗的使命2,1.94亿,剧情&喜剧&家庭
爱乐之城,2.62亿,剧情&喜剧&爱情&歌舞
云中行走,9063万,剧情&冒险&传记
憨豆特工3,1.71亿,喜剧&动作&冒险
狂兽,6715.29万,剧情&动作&犯罪
罗小黑战记,3.11亿,动作&动画&奇幻
警察故事2013,5.36亿,喜剧&动作&犯罪
澳门风云,5.25亿,剧情&喜剧&动作
比得兔,1.67亿,喜剧&动画&冒险
王朝的女人：杨贵妃,1.34亿,历史&古装
沉睡魔咒2,3.42亿,冒险&奇幻
大话西游之大圣娶亲,1.79亿,喜剧&爱情&动作
栀子花开2015,3.78亿,剧情&爱情
里约大冒险2,2.43亿,喜剧&动画&冒险
一吻定情,1.72亿,喜剧&爱情
撒娇女人最好命,2.3亿,喜剧&爱情
环太平洋：雷霆再起,6.27亿,动作&冒险&科幻
世纪战元,2012万,动作&科幻
大师兄,1.45亿,喜剧&动作
黑衣人3,5.04亿,喜剧&动作&科幻
窃听风云3,3.05亿,惊悚&犯罪
极盗车神,1.08亿,动作&惊悚&犯罪
超脑48小时,1.03亿,剧情&动作&惊悚&犯罪&悬疑
头脑特工队,9708万,喜剧&动画&冒险&家庭
超人：钢铁之躯,3.95亿,动作&冒险&奇幻&科幻
像素大战,1.01亿,喜剧&动作&科幻
冰雪奇缘,2.99亿,喜剧&动画&冒险
冰川时代4,4.49亿,喜剧&动画&冒险
欧洲攻略,1.52亿,喜剧&爱情&动作
谜城,1.49亿,剧情&动作&犯罪
小小的愿望,2.65亿,剧情&喜剧
比利·林恩的中场战事,1.64亿,剧情&战争&历史
嗝嗝老师,1.48亿,剧情&喜剧
万物生长,1.48亿,剧情&爱情
巴霍巴利王2：终结,7614.71万,剧情&动作&冒险&奇幻&战争
追凶者也,1.36亿,剧情&喜剧&犯罪&悬疑
金陵十三钗,6.09亿,爱情&动作&战争&历史
大耳朵图图之美食狂想曲,4295.87万,动画
猎神：冬日之战,1.06亿,剧情&动作&冒险&奇幻
李雷和韩梅梅,4050万,剧情&喜剧&爱情
帕丁顿熊,9868.92万,喜剧&家庭
太平轮(上),1.95亿,爱情&战争&灾难
胡桃夹子和四个王国,1.11亿,动作&冒险&奇幻
厕所英雄,9368.8万,无分类
马戏之王,1亿,剧情
金蝉脱壳2,9050.37万,动作&惊悚
密战,7877.18万,剧情&动作&战争
驴得水,1.72亿,剧情&喜剧
速度与激情6,4.14亿,剧情&动作&惊悚&犯罪
不可思异,1.11亿,剧情&喜剧&奇幻&科幻
水形物语,1.04亿,剧情&爱情&奇幻
欢乐好声音,2.16亿,剧情&喜剧&动画
小时代,4.88亿,剧情&爱情
神探蒲松龄,1.51亿,喜剧&爱情&动作&奇幻
玩具总动员4,1.98亿,喜剧&动画&奇幻
烟花,7791.54万,无分类
二十二,1.68亿,纪录片
龙猫,1.71亿,动画&冒险&奇幻
单身男女2,1.96亿,剧情&爱情
星际迷航：暗黑无界,3.54亿,动作&冒险&科幻
移动迷宫,1.5亿,动作&悬疑&科幻
神偷奶爸2,3.24亿,喜剧&动画&冒险
催眠大师,2.74亿,剧情&惊悚&悬疑
